@relation microarray

@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute seedGC numeric
@attribute Pos_2 numeric
@attribute Class {Target,Non-Target}

@data
-29.9,-18.6,3,2,Non-Target
-28.7,-18.8,3,1,Non-Target
-28,-19,3,2,Non-Target
-19.9,-19,3,2,Non-Target
-36.5,-19,3,2,Non-Target
-32.8,-19,3,2,Non-Target
-33.3,-19,3,2,Non-Target
-19.8,-19,3,2,Non-Target
-21.6,-19,3,2,Non-Target
-32.6,-18.6,3,2,Non-Target
-25.4,-18.6,3,2,Non-Target
-24.3,-15,2,5,Non-Target
-22.4,-12.9,2,5,Non-Target
-27.4,-19,3,2,Non-Target
-24.2,-19,3,2,Non-Target
-27.9,-18.7,3,3,Non-Target
-22.3,-18,3,2,Non-Target
-22.8,-18,3,2,Non-Target
-24.5,-18,3,2,Non-Target
-28.6,-18,3,2,Non-Target
-23.4,-18,3,2,Non-Target
-21.1,-18,3,2,Non-Target
-28.3,-18,3,2,Non-Target
-18.3,-18,3,2,Non-Target
-34.4,-12.3,2,2,Non-Target
-26.6,-18,3,2,Non-Target
-17.8,-18,3,2,Non-Target
-23.4,-16.2,2,2,Non-Target
-17.8,-18,3,2,Non-Target
-23.4,-16.2,2,2,Non-Target
-23.4,-16.2,2,2,Non-Target
-17.8,-19,3,1,Non-Target
-22.5,-16.4,2,2,Non-Target
-21.4,-18,3,2,Non-Target
-21.4,-18,3,2,Non-Target
-22.2,-18,3,2,Non-Target
-22.5,-16.2,2,2,Non-Target
-24.8,-20.4,4,2,Non-Target
-26.2,-20.4,4,2,Non-Target
-24.8,-20.4,4,2,Non-Target
-26.2,-20.4,4,2,Non-Target
-29.9,-18.2,3,2,Non-Target
-26.4,-20.4,4,2,Non-Target
-33,-20.1,4,2,Non-Target
-24.6,-20.4,4,2,Non-Target
-25.2,-16,4,5,Non-Target
-25.2,-16,4,5,Non-Target
-31.3,-20.1,4,2,Non-Target
-32,-17.5,3,2,Non-Target
-23.5,-17.5,3,2,Non-Target
-27,-20.1,4,2,Non-Target
-24.5,-16,4,5,Non-Target
-28.8,-20.1,4,2,Non-Target
-20.9,-17.2,2,1,Non-Target
-16.4,-11.1,0,5,Non-Target
-15.3,-15.2,1,1,Non-Target
