@relation microarray

@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute seedGC numeric
@attribute Pos_2 numeric
@attribute Class {Target,Non-Target}

@data
-24.3,-20.1,4,2,Target
-20.9,-20.1,4,2,Target
-27.1,-20.1,4,2,Target
-22.6,-20.1,4,2,Target
-26.3,-18,3,2,Target
-20,-20.1,4,2,Target
-19.7,-18,3,2,Target
-16.3,-16.9,3,2,Target
-23.57,-20.1,4,2,Target
-30.1,-20.1,4,2,Target
-28,-20.1,4,2,Target
-28.2,-15.7,4,5,Target
-24.5,-20.1,4,2,Target
-25.1,-20.1,4,2,Target
-25.26,-20.1,4,2,Target
-26,-20.1,4,2,Target
-20.2,-20.1,4,2,Target
-22.04,-20.1,4,2,Target
-26.8,-20.1,4,2,Target
-24.5,-20.1,4,2,Target
-26.6,-20.1,4,2,Target
-22.3,-20.1,4,2,Target
-23.62,-20.1,4,2,Target
-18.7,-20.1,4,2,Target
-21.12,-20.1,4,2,Target
-25.2,-20.1,4,2,Target
-22.6,-20.1,4,2,Target
-28,-20.1,4,2,Target
-34,-20.1,4,2,Target
-26.1,-20.1,4,2,Target
-24.3,-20.1,4,2,Target
-29,-20.1,4,2,Target
-30.3,-20.1,4,2,Target
-24,-20.1,4,2,Target
-23,-20.1,4,2,Target
-27.7,-20.1,4,2,Target
-26.8,-20.1,4,2,Target
-25.8,-20.1,4,2,Target
-26.34,-20.1,4,2,Target
-25.64,-20.1,4,2,Target
-26,-20.1,4,2,Target
-24.8,-20.1,4,2,Target
-21.9,-20.1,4,2,Target
-25.02,-20.1,4,2,Target
-24.9,-20.1,4,2,Target
-24.8,-20.1,4,2,Target
-24.9,-20.1,4,2,Target
-26.4,-20.1,4,2,Target
-21.7,-20.1,4,2,Target
-23.2,-20.1,4,2,Target
-32.8,-20.1,4,2,Target
-22.3,-20.1,4,2,Target
-25.4,-20.1,4,2,Target
-24.7,-20.1,4,2,Target
-28.3,-20.1,4,2,Target
-22.1,-20.1,4,2,Target
-30.4,-20.1,4,2,Target
-26.6,-20.1,4,2,Target
-21.2,-20.1,4,2,Target
-29.3,-20.1,4,2,Target
-20.9,-20.1,4,2,Target
-28.3,-20.1,4,2,Target
-22.2,-20.1,4,2,Target
-22.5,-20.1,4,2,Target
-22.3,-20.1,4,2,Target
-26.2,-15.7,4,5,Target
-25.1,-20.1,4,2,Target
-24.2,-20.1,4,2,Target
-26.34,-20.1,4,2,Target
-22.1,-20.1,4,2,Target
-20.22,-20.1,4,2,Target
-24.32,-20.1,4,2,Target
-30.4,-18,3,2,Target
-25.22,-20.1,4,2,Target
-25.7,-19.9,4,1,Target
-27.2,-14.3,1,2,Target
-18,-16.7,2,3,Target
-25.2,-12.6,2,5,Target
-22.9,-16.7,2,2,Target
-26,-16.6,2,2,Target
-22.8,-16.6,2,2,Target
-25.1,-16.7,2,3,Target
-19.74,-16.6,2,2,Target
-22.7,-14.3,1,2,Target
-24.4,-16.3,2,2,Target
-32.2,-16.7,2,3,Target
-27.2,-22.1,5,1,Target
-34,-20.8,4,1,Target
-28.6,-22.1,5,1,Target
-32.7,-20.8,4,1,Target
-34.7,-22.1,5,1,Target
-23.69,-22.1,5,1,Target
-23.7,-22.1,5,1,Target
-28.5,-21.7,5,1,Target
-28.4,-22.1,5,1,Target
-22,-22.1,5,1,Target
-30.7,-22.1,5,1,Target
-21.8,-22.1,5,1,Target
-32,-17.4,4,5,Target
-28.5,-22.1,5,1,Target
-23.1,-22.1,5,1,Target
-30.1,-22.1,5,1,Target
-21.4,-14,3,5,Target
-30.7,-20.4,4,2,Target
-25,-16,4,5,Target
-35.4,-22.1,5,1,Target
-17.7,-17.9,3,2,Target
-19.9,-17.9,3,2,Target
-25.6,-17.9,3,2,Target
-22.5,-17.9,3,2,Target
-24.7,-17.9,3,2,Target
-26.9,-14.4,3,5,Target
-28.1,-14.4,3,5,Target
-18.7,-17.9,3,2,Target
-27,-17.9,3,2,Target
-17.7,-17.9,3,2,Target
-24.37,-17.9,3,2,Target
-22.1,-15.7,2,2,Target
-26.8,-21,4,2,Target
-27.39,-17.9,3,2,Target
-27.5,-15.7,2,2,Target
-24,-17.4,3,2,Target
-26.2,-13.9,1,2,Target
-24.3,-14.4,3,5,Target
-22.9,-15.7,2,2,Target
-25.8,-17.9,3,2,Target
-20.9,-15.7,2,2,Target
-30.4,-17.9,3,2,Target
-31.2,-17.9,3,2,Target
-29,-17.5,3,2,Target
-27.5,-17.9,3,2,Target
-31.6,-17.9,3,2,Target
-23.1,-15.7,2,2,Target
-30.44,-17.9,3,2,Target
-22.3,-17.9,3,2,Target
-26.9,-15.7,2,2,Target
-23.5,-14.4,3,5,Target
-20.4,-17.9,3,2,Target
-29.1,-17.5,3,2,Target
-25.9,-17.9,3,2,Target
-25.2,-17.9,3,2,Target
-26.4,-17.9,3,2,Target
-30.2,-17.5,3,2,Target
-34.6,-17.5,3,2,Target
-27.6,-16.1,2,2,Target
-30.7,-21.3,4,1,Target
-32.8,-21.3,4,1,Target
-29,-19.3,3,1,Target
-25.52,-21.3,4,1,Target
-27.3,-17.3,4,1,Target
-24.5,-17.9,3,2,Target
-19.9,-14.4,3,5,Target
-22.2,-15.7,2,2,Target
-30.2,-17.9,3,2,Target
-29.2,-14.4,3,5,Target
-29.2,-17.9,3,2,Target
-21.7,-14.4,3,5,Target
-27.6,-13.9,1,2,Target
-29.6,-17.9,3,2,Target
-27.1,-17.9,3,2,Target
-30.2,-17.9,3,2,Target
-26.3,-17.9,3,2,Target
-27.3,-17.9,3,2,Target
-36.1,-22.9,5,1,Target
-20.7,-17.9,3,2,Target
-20.1,-17.9,3,2,Target
-18.8,-17.9,3,2,Target
-23.2,-17.9,3,2,Target
-24.9,-17.9,3,2,Target
-23,-12.2,2,5,Target
-24.6,-13.7,1,2,Target
-23.6,-13.7,1,2,Target
-31.3,-20.6,4,2,Target
-31.5,-20.6,4,2,Target
-18.2,-15.1,4,5,Target
-19.7,-17.1,2,2,Target
-32.6,-22.9,5,1,Target
-28.2,-22.3,5,1,Target
-27.2,-21.3,4,1,Target
-26.3,-22.9,5,1,Target
-26.2,-17.9,3,1,Target
-22.7,-15.7,2,1,Target
-23.9,-17.9,3,1,Target
-25.3,-17.9,3,1,Target
-22.7,-15.7,2,1,Target
-22.1,-20.4,4,1,Target
-23.8,-20.4,4,1,Target
-32.6,-20.4,4,1,Target
-24.6,-20.4,4,1,Target
-27.7,-20.4,4,1,Target
-28.4,-20.4,4,1,Target
-25.5,-19.5,4,2,Target
-25.3,-19.5,4,2,Target
-23.7,-19.5,4,2,Target
-24.7,-19.5,4,2,Target
-29.9,-19.6,4,3,Target
-23.3,-19.5,4,2,Target
-26.8,-20.9,4,1,Target
-22.8,-20.9,4,1,Target
-29.7,-20.9,4,1,Target
-24.7,-20.9,4,1,Target
-22.2,-20.9,4,1,Target
-26.1,-22.9,5,1,Target
-29.3,-22.9,5,1,Target
-25.5,-22.9,5,1,Target
-26.8,-22.9,5,1,Target
-28.8,-22.9,5,1,Target
-23.5,-22.9,5,1,Target
-23.9,-22.9,5,1,Target
-26.8,-22.9,5,1,Target
-26.3,-22.9,5,1,Target
-31.5,-20.6,4,1,Target
-35.1,-20.9,4,1,Target
-29.3,-20.5,4,1,Target
-30.5,-22.9,5,1,Target
-32.9,-22.9,5,1,Target
-31.2,-22.9,5,1,Target
-41,-18.3,4,1,Target
-34.4,-16,4,1,Target
-25.9,-20.9,4,1,Target
-24.9,-20.9,4,1,Target
-24.2,-20.9,4,1,Target
-28.9,-20.9,4,1,Target
-24.7,-20.9,4,1,Target
-30.01,-22.9,5,1,Target
-22.86,-22.9,5,1,Target
-26.3,-22.9,5,1,Target
-31.4,-22.9,5,1,Target
-25.5,-22.9,5,1,Target
-17.6,-14.6,2,2,Target
-15.6,-14.6,2,2,Target
-22.6,-14.6,2,2,Target
-23.2,-14.6,2,2,Target
-23,-17.7,3,2,Target
-25.9,-12.9,3,2,Target
-25.2,-17.7,3,2,Target
-28,-17.7,3,2,Target
-28,-17.7,3,2,Target
-21.2,-20.9,4,1,Target
-24.2,-18,3,1,Target
-22.8,-14.7,3,5,Target
-26.13,-17.7,3,2,Target
-24,-17.7,3,2,Target
-18.5,-20.3,4,2,Target
-17.9,-16.2,2,2,Target
-15.43,-16.2,2,2,Target
-22.3,-16.2,2,2,Target
-22.7,-16.2,2,2,Target
-20.7,-16.3,2,2,Target
-15.3,-16.2,2,2,Target
-26.2,-18.6,3,2,Target
-25.8,-17.9,3,2,Target
-22.2,-14.4,3,5,Target
-18.4,-16.6,2,2,Target
-38.2,-20.9,4,1,Target
-33,-20.5,4,1,Target
-21.8,-18.6,3,2,Target
-33.9,-18.6,3,2,Target
-22.1,-19,3,2,Target
-17.7,-19,3,2,Target
-21.4,-19,3,2,Target
-21.8,-19,3,2,Target
-20.9,-19,3,2,Target
-23.9,-19,3,2,Target
-22,-16.2,2,2,Target
-30.6,-16.2,2,3,Target
-26.54,-16.2,2,2,Target
-19.3,-16.2,2,2,Target
-18.64,-16.2,2,2,Target
-17.7,-16.2,2,2,Target
-28.2,-19.5,4,2,Target
-27,-16.8,3,5,Target
-24.7,-19.5,4,2,Target
-25,-19.5,4,2,Target
-26.9,-17.4,3,2,Target
-20.4,-16.9,3,2,Target
-21.4,-19.5,4,2,Target
-27.5,-19.5,4,2,Target
-22.1,-19.5,4,2,Target
-28.6,-19.5,4,2,Target
-21.5,-15.1,4,5,Target
-28.8,-20.9,4,1,Target
-27.9,-20.9,4,1,Target
-26.1,-20.9,4,1,Target
-29.6,-20.9,4,1,Target
-21.2,-20.9,4,1,Target
-29.5,-19.5,4,2,Target
-21.8,-19.5,4,2,Target
-24.76,-19.5,4,2,Target
-28.5,-17.4,3,2,Target
-25.74,-15.1,4,5,Target
