@relation microarray

@attribute seedMFE numeric
@attribute Class {Target,Non-Target}

@data
-18.3,Target
-16,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-22.9,Target
-22.9,Target
-22.9,Target
-22.9,Target
-22.9,Target
-14.6,Target
-14.6,Target
-14.6,Target
-14.6,Target
-17.7,Target
-12.9,Target
-17.7,Target
-17.7,Target
-17.7,Target
-20.9,Target
-18,Target
-14.7,Target
-17.7,Target
-17.7,Target
-20.3,Target
-16.2,Target
-16.2,Target
-16.2,Target
-16.2,Target
-16.3,Target
-16.2,Target
-18.6,Target
-17.9,Target
-14.4,Target
-16.6,Target
-20.9,Target
-20.5,Target
-18.6,Target
-18.6,Target
-19,Target
-19,Target
-19,Target
-19,Target
-19,Target
-19,Target
-16.2,Target
-16.2,Target
-16.2,Target
-16.2,Target
-16.2,Target
-16.2,Target
-19.5,Target
-16.8,Target
-19.5,Target
-19.5,Target
-17.4,Target
-16.9,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-15.1,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-19.5,Target
-19.5,Target
-19.5,Target
-17.4,Target
-15.1,Target
-18.5,Non-Target
-19,Non-Target
-14.6,Non-Target
-14.6,Non-Target
-14.6,Non-Target
-17.2,Non-Target
-17.2,Non-Target
-18.2,Non-Target
-18.2,Non-Target
-20,Non-Target
-15.5,Non-Target
-21.9,Non-Target
-16.9,Non-Target
-19,Non-Target
-16.3,Non-Target
-19.9,Non-Target
-19.9,Non-Target
-18.6,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.4,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-19.6,Non-Target
-19.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.6,Non-Target
-14.4,Non-Target
-18.9,Non-Target
-14.4,Non-Target
-18.9,Non-Target
-14.4,Non-Target
-18.9,Non-Target
-14.4,Non-Target
-18.9,Non-Target
-14.4,Non-Target
-18.9,Non-Target
-19.6,Non-Target
-19.9,Non-Target
-18.6,Non-Target
-18.6,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.6,Non-Target
-18.4,Non-Target
-18.4,Non-Target
-18.9,Non-Target
-19.9,Non-Target
-19.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.9,Non-Target
-18.4,Non-Target
-15.5,Non-Target
-18.4,Non-Target
-18.6,Non-Target
-11.9,Non-Target
-18.4,Non-Target
-18.9,Non-Target
-18.4,Non-Target
-18.9,Non-Target
-18.4,Non-Target
-18.9,Non-Target
-18.4,Non-Target
-18.4,Non-Target
-18.6,Non-Target
-18.9,Non-Target
-21.1,Non-Target
-21.1,Non-Target
-18,Non-Target
-17.7,Non-Target
-19.3,Non-Target
-19.3,Non-Target
-21.1,Non-Target
-21.1,Non-Target
-13.9,Non-Target
-21.1,Non-Target
-21.1,Non-Target
-13.9,Non-Target
-17.7,Non-Target
-21.1,Non-Target
-21.1,Non-Target
-21.1,Non-Target
-16.1,Non-Target
-21.1,Non-Target
-18,Non-Target
-21.1,Non-Target
-17.9,Non-Target
-12.6,Non-Target
-14.2,Non-Target
-18.5,Non-Target
-18.3,Non-Target
-16.5,Non-Target
-16.9,Non-Target
-22.5,Non-Target
-22.2,Non-Target
-19.3,Non-Target
-22.2,Non-Target
-22.5,Non-Target
-22.5,Non-Target
-22.2,Non-Target
-19.6,Non-Target
-22.2,Non-Target
-17.4,Non-Target
-19.5,Non-Target
-22.2,Non-Target
-20.2,Non-Target
-15.7,Non-Target
-22.3,Non-Target
-22.3,Non-Target
-19.4,Non-Target
-19.4,Non-Target
-15.5,Non-Target
-21.4,Non-Target
-21.4,Non-Target
-22.3,Non-Target
-22.3,Non-Target
-20.1,Non-Target
-22.3,Non-Target
-21.4,Non-Target
-10.7,Non-Target
-16.9,Non-Target
-10.7,Non-Target
-10.7,Non-Target
-16.9,Non-Target
-18.1,Non-Target
-18.8,Non-Target
-18.5,Non-Target
-18.3,Non-Target
-18.8,Non-Target
-16.9,Non-Target
-13.6,Non-Target
-13.6,Non-Target
-13.6,Non-Target
-13.6,Non-Target
-13.6,Non-Target
-16,Non-Target
-16.6,Non-Target
-16.6,Non-Target
-18.3,Non-Target
-19.3,Non-Target
-19.3,Non-Target
-16,Non-Target
-16.6,Non-Target
-16.7,Non-Target
-16.6,Non-Target
-16.6,Non-Target
-18.4,Non-Target
-18.6,Non-Target
-18.6,Non-Target
-18.6,Non-Target
-16.3,Non-Target
-17.9,Non-Target
-18.6,Non-Target
-15.9,Non-Target
-18,Non-Target
-21.3,Non-Target
-21.3,Non-Target
-21.3,Non-Target
-21.3,Non-Target
-17.8,Non-Target
-18.7,Non-Target
-18.7,Non-Target
-18.7,Non-Target
-18.7,Non-Target
-18.7,Non-Target
-18.7,Non-Target
-18.7,Non-Target
-16.7,Non-Target
-16.7,Non-Target
-16.7,Non-Target
-18.6,Non-Target
-20.4,Non-Target
-17.8,Non-Target
-20.4,Non-Target
-16.3,Non-Target
-17.8,Non-Target
-20.4,Non-Target
-16.3,Non-Target
-17.8,Non-Target
-20.4,Non-Target
-16.3,Non-Target
-20.4,Non-Target
-20.4,Non-Target
-20.4,Non-Target
-20.4,Non-Target
-17.5,Non-Target
-20.4,Non-Target
-17.5,Non-Target
-20.4,Non-Target
-17.5,Non-Target
-10.3,Non-Target
-20.4,Non-Target
-20.4,Non-Target
-20.4,Non-Target
-20.4,Non-Target
-18.7,Non-Target
-18.1,Non-Target
-18.6,Non-Target
-18.1,Non-Target
-18.6,Non-Target
-18.6,Non-Target
-16,Non-Target
-18.6,Non-Target
-16,Non-Target
-18.6,Non-Target
-23.9,Non-Target
-21.9,Non-Target
-17.1,Non-Target
-18.6,Non-Target
-18.6,Non-Target
-12.4,Non-Target
-18.6,Non-Target
-16.2,Non-Target
-16,Non-Target
-16,Non-Target
-12.1,Non-Target
-18.6,Non-Target
-16.1,Non-Target
-18.1,Non-Target
-18.6,Non-Target
-16.1,Non-Target
-18.1,Non-Target
-18.6,Non-Target
-18.1,Non-Target
-18.6,Non-Target
-16.1,Non-Target
-18.1,Non-Target
-18.6,Non-Target
-16.1,Non-Target
-18.1,Non-Target
-16.1,Non-Target
-18.1,Non-Target
-16,Non-Target
-16.2,Non-Target
-16.1,Non-Target
-18.1,Non-Target
-16,Non-Target
-18.6,Non-Target
-18.6,Non-Target
-18.1,Non-Target
-18.6,Non-Target
-16.2,Non-Target
-18.6,Non-Target
-16.2,Non-Target
-16.2,Non-Target
-12.3,Non-Target
-22.1,Non-Target
-15.9,Non-Target
-22.1,Non-Target
-22.1,Non-Target
-22.1,Non-Target
-20.8,Non-Target
-22.1,Non-Target
-22.1,Non-Target
-15.9,Non-Target
-15.9,Non-Target
-22.1,Non-Target
-18.2,Non-Target
-16,Non-Target
-20,Non-Target
-19.2,Non-Target
-19.2,Non-Target
-19.2,Non-Target
-20.5,Non-Target
-19,Non-Target
-14.5,Non-Target
-19,Non-Target
-14.9,Non-Target
-14.5,Non-Target
-18.7,Non-Target
-19.1,Non-Target
-18.6,Non-Target
-19,Non-Target
-19,Non-Target
-18.6,Non-Target
-18.8,Non-Target
-19,Non-Target
-19,Non-Target
-19,Non-Target
-19,Non-Target
