@relation microarray.txt

@attribute Score numeric
@attribute seedMFE numeric
@attribute totalAU numeric
@attribute seedGC numeric
@attribute Class {Target,Non-Target}

@data
146,-20.1,5,4,Target
142,-20.1,4,4,Target
142,-20.1,4,4,Target
141,-20.1,6,4,Target
140,-20.1,3,4,Target
140,-20.1,4,4,Target
165,-20.1,8,4,Target
146,-20.1,5,4,Target
142,-20.1,8,4,Target
142,-20.1,4,4,Target
141,-20.1,7,4,Target
162,-20.1,7,4,Target
154,-20.1,6,4,Target
151,-20.1,7,4,Target
151,-20.1,6,4,Target
149,-20.1,5,4,Target
149,-20.1,5,4,Target
149,-20.1,5,4,Target
147,-20.1,7,4,Target
147,-20.1,4,4,Target
146,-20.1,7,4,Target
146,-20.1,8,4,Target
144,-20.1,6,4,Target
143,-20.1,6,4,Target
143,-20.1,4,4,Target
143,-20.1,6,4,Target
142,-15.7,8,4,Target
142,-20.1,7,4,Target
142,-20.1,5,4,Target
142,-20.1,5,4,Target
141,-20.1,4,4,Target
140,-20.1,3,4,Target
140,-20.1,3,4,Target
140,-18,5,3,Target
140,-20.1,3,4,Target
160,-19.9,5,4,Target
146,-14.3,8,1,Target
143,-16.7,9,2,Target
141,-12.6,9,2,Target
151,-16.7,8,2,Target
150,-16.6,8,2,Target
148,-16.6,7,2,Target
148,-16.7,8,2,Target
145,-16.6,8,2,Target
143,-14.3,9,1,Target
142,-16.3,6,2,Target
141,-16.7,7,2,Target
156,-22.1,9,5,Target
150,-20.8,8,4,Target
155,-22.1,2,5,Target
151,-20.8,6,4,Target
164,-22.1,3,5,Target
151,-22.1,5,5,Target
149,-22.1,6,5,Target
142,-21.7,4,5,Target
160,-22.1,5,5,Target
151,-22.1,5,5,Target
150,-22.1,5,5,Target
146,-22.1,4,5,Target
141,-17.4,5,4,Target
140,-22.1,3,5,Target
155,-22.1,6,5,Target
154,-22.1,6,5,Target
142,-14,7,3,Target
156,-20.4,4,4,Target
143,-16,5,4,Target
151,-22.1,3,5,Target
143,-17.9,4,3,Target
140,-17.9,4,3,Target
143,-17.9,8,3,Target
152,-17.9,6,3,Target
149,-17.9,6,3,Target
148,-14.4,7,3,Target
148,-14.4,7,3,Target
146,-17.9,7,3,Target
154,-17.9,7,3,Target
149,-17.9,6,3,Target
153,-17.9,7,3,Target
143,-15.7,6,2,Target
143,-21,6,4,Target
160,-17.9,9,3,Target
153,-15.7,8,2,Target
141,-17.4,6,3,Target
140,-13.9,9,1,Target
146,-14.4,9,3,Target
143,-15.7,8,2,Target
143,-17.9,5,3,Target
142,-15.7,9,2,Target
161,-17.9,8,3,Target
143,-17.9,6,3,Target
140,-17.5,7,3,Target
165,-17.9,7,3,Target
156,-17.9,6,3,Target
143,-15.7,8,2,Target
152,-17.9,6,3,Target
153,-17.9,8,3,Target
149,-15.7,9,2,Target
140,-14.4,6,3,Target
148,-17.9,6,3,Target
141,-17.5,6,3,Target
158,-17.9,7,3,Target
152,-17.9,8,3,Target
150,-17.9,5,3,Target
145,-17.5,6,3,Target
155,-17.5,6,3,Target
152,-16.1,9,2,Target
163,-21.3,9,4,Target
163,-21.3,7,4,Target
145,-19.3,8,3,Target
143,-21.3,4,4,Target
140,-17.3,6,4,Target
152,-17.9,7,3,Target
143,-14.4,8,3,Target
142,-15.7,7,2,Target
164,-17.9,7,3,Target
141,-14.4,5,3,Target
152,-17.9,8,3,Target
148,-14.4,9,3,Target
140,-13.9,8,1,Target
149,-17.9,4,3,Target
167,-17.9,9,3,Target
164,-17.9,7,3,Target
153,-17.9,6,3,Target
146,-17.9,4,3,Target
156,-22.9,7,5,Target
147,-17.9,7,3,Target
145,-17.9,6,3,Target
148,-17.9,7,3,Target
146,-17.9,7,3,Target
160,-17.9,7,3,Target
146,-12.2,8,2,Target
144,-13.7,9,1,Target
143,-13.7,9,1,Target
148,-20.6,6,4,Target
145,-20.6,4,4,Target
143,-15.1,7,4,Target
146,-17.1,8,2,Target
159,-22.9,3,5,Target
143,-22.3,5,5,Target
150,-21.3,7,4,Target
144,-22.9,3,5,Target
164,-17.9,7,3,Target
145,-15.7,10,2,Target
169,-17.9,9,3,Target
154,-17.9,7,3,Target
145,-15.7,10,2,Target
159,-20.4,8,4,Target
147,-20.4,7,4,Target
172,-20.4,9,4,Target
161,-20.4,8,4,Target
163,-20.4,11,4,Target
154,-20.4,9,4,Target
158,-19.5,9,4,Target
153,-19.5,6,4,Target
152,-19.5,6,4,Target
151,-19.5,8,4,Target
145,-19.6,6,4,Target
149,-19.5,6,4,Target
169,-20.9,10,4,Target
160,-20.9,8,4,Target
157,-20.9,9,4,Target
156,-20.9,5,4,Target
149,-20.9,6,4,Target
151,-22.9,6,5,Target
145,-22.9,5,5,Target
154,-22.9,6,5,Target
145,-22.9,6,5,Target
150,-22.9,6,5,Target
149,-22.9,4,5,Target
140,-22.9,4,5,Target
145,-22.9,6,5,Target
144,-22.9,4,5,Target
146,-20.6,6,4,Target
154,-20.9,7,4,Target
147,-20.5,5,4,Target
159,-22.9,4,5,Target
165,-22.9,7,5,Target
149,-22.9,6,5,Target
148,-18.3,6,4,Target
149,-16,8,4,Target
168,-20.9,8,4,Target
161,-20.9,9,4,Target
152,-20.9,5,4,Target
152,-20.9,7,4,Target
150,-20.9,7,4,Target
145,-22.9,6,5,Target
145,-22.9,6,5,Target
141,-22.9,4,5,Target
159,-22.9,7,5,Target
144,-22.9,4,5,Target
142,-14.6,6,2,Target
141,-14.6,6,2,Target
163,-14.6,8,2,Target
158,-14.6,7,2,Target
150,-17.7,7,3,Target
140,-12.9,6,3,Target
157,-17.7,9,3,Target
153,-17.7,8,3,Target
153,-17.7,8,3,Target
148,-20.9,7,4,Target
140,-18,5,3,Target
140,-14.7,8,3,Target
150,-17.7,5,3,Target
150,-17.7,8,3,Target
142,-20.3,3,4,Target
149,-16.2,8,2,Target
147,-16.2,7,2,Target
158,-16.2,11,2,Target
150,-16.2,9,2,Target
144,-16.3,8,2,Target
142,-16.2,8,2,Target
155,-18.6,9,3,Target
153,-17.9,6,3,Target
143,-14.4,11,3,Target
141,-16.6,10,2,Target
158,-20.9,7,4,Target
149,-20.5,5,4,Target
149,-18.6,8,3,Target
148,-18.6,6,3,Target
145,-19,7,3,Target
142,-19,5,3,Target
140,-19,5,3,Target
140,-19,5,3,Target
150,-19,6,3,Target
140,-19,6,3,Target
159,-16.2,10,2,Target
141,-16.2,9,2,Target
166,-16.2,12,2,Target
157,-16.2,9,2,Target
155,-16.2,11,2,Target
149,-16.2,8,2,Target
157,-19.5,8,4,Target
141,-16.8,6,3,Target
151,-19.5,8,4,Target
140,-19.5,4,4,Target
142,-17.4,8,3,Target
143,-16.9,9,3,Target
150,-19.5,10,4,Target
152,-19.5,8,4,Target
150,-19.5,5,4,Target
144,-19.5,8,4,Target
141,-15.1,9,4,Target
168,-20.9,8,4,Target
165,-20.9,8,4,Target
156,-20.9,4,4,Target
153,-20.9,6,4,Target
147,-20.9,5,4,Target
143,-19.5,7,4,Target
147,-19.5,5,4,Target
147,-19.5,8,4,Target
146,-17.4,7,3,Target
142,-15.1,7,4,Target
140,-18.5,5,3,Non-Target
156,-19,8,3,Non-Target
150,-14.6,11,1,Non-Target
154,-14.6,13,1,Non-Target
142,-14.6,12,1,Non-Target
148,-17.2,10,2,Non-Target
144,-17.2,12,2,Non-Target
148,-18.2,8,3,Non-Target
141,-18.2,5,3,Non-Target
146,-20,5,4,Non-Target
153,-15.5,8,2,Non-Target
163,-21.9,4,5,Non-Target
147,-16.9,5,5,Non-Target
143,-19,8,3,Non-Target
142,-16.3,9,2,Non-Target
154,-19.9,6,4,Non-Target
147,-19.9,8,4,Non-Target
143,-18.6,6,3,Non-Target
159,-18.9,6,3,Non-Target
147,-18.9,5,3,Non-Target
143,-18.4,6,3,Non-Target
141,-18.9,5,3,Non-Target
162,-18.9,8,3,Non-Target
162,-18.9,8,3,Non-Target
162,-18.9,8,3,Non-Target
141,-18.9,6,3,Non-Target
142,-18.9,7,3,Non-Target
147,-19.6,6,4,Non-Target
144,-19.9,5,4,Non-Target
161,-18.9,7,3,Non-Target
149,-18.9,7,3,Non-Target
147,-18.9,7,3,Non-Target
140,-18.9,8,3,Non-Target
143,-18.6,8,3,Non-Target
151,-14.4,7,3,Non-Target
140,-18.9,4,3,Non-Target
151,-14.4,7,3,Non-Target
140,-18.9,4,3,Non-Target
151,-14.4,7,3,Non-Target
140,-18.9,4,3,Non-Target
151,-14.4,7,3,Non-Target
140,-18.9,4,3,Non-Target
151,-14.4,7,3,Non-Target
140,-18.9,4,3,Non-Target
147,-19.6,6,4,Non-Target
144,-19.9,5,4,Non-Target
142,-18.6,8,3,Non-Target
140,-18.6,6,3,Non-Target
146,-18.9,5,3,Non-Target
143,-18.9,6,3,Non-Target
163,-18.9,6,3,Non-Target
146,-18.9,7,3,Non-Target
145,-18.9,8,3,Non-Target
144,-18.9,7,3,Non-Target
148,-18.6,7,3,Non-Target
155,-18.4,8,3,Non-Target
151,-18.4,7,3,Non-Target
149,-18.9,7,3,Non-Target
157,-19.9,8,4,Non-Target
141,-19.9,4,4,Non-Target
148,-18.9,6,3,Non-Target
144,-18.9,5,3,Non-Target
159,-18.9,8,3,Non-Target
140,-18.4,5,3,Non-Target
145,-15.5,9,2,Non-Target
151,-18.4,5,3,Non-Target
148,-18.6,4,3,Non-Target
150,-11.9,7,2,Non-Target
144,-18.4,5,3,Non-Target
141,-18.9,5,3,Non-Target
144,-18.4,5,3,Non-Target
141,-18.9,5,3,Non-Target
144,-18.4,5,3,Non-Target
141,-18.9,5,3,Non-Target
148,-18.4,4,3,Non-Target
142,-18.4,5,3,Non-Target
152,-18.6,6,3,Non-Target
140,-18.9,4,3,Non-Target
140,-21.1,4,5,Non-Target
144,-21.1,4,5,Non-Target
155,-18,8,3,Non-Target
141,-17.7,5,3,Non-Target
140,-19.3,6,4,Non-Target
140,-19.3,6,4,Non-Target
156,-21.1,4,5,Non-Target
154,-21.1,8,5,Non-Target
146,-13.9,7,2,Non-Target
156,-21.1,4,5,Non-Target
154,-21.1,8,5,Non-Target
146,-13.9,7,2,Non-Target
144,-17.7,8,3,Non-Target
154,-21.1,8,5,Non-Target
140,-21.1,4,5,Non-Target
154,-21.1,5,5,Non-Target
155,-16.1,7,3,Non-Target
160,-21.1,5,5,Non-Target
164,-18,8,3,Non-Target
153,-21.1,5,5,Non-Target
150,-17.9,5,3,Non-Target
141,-12.6,5,2,Non-Target
147,-14.2,6,3,Non-Target
148,-18.5,6,3,Non-Target
155,-18.3,8,3,Non-Target
145,-16.5,7,2,Non-Target
143,-16.9,8,2,Non-Target
154,-22.5,3,5,Non-Target
151,-22.2,3,5,Non-Target
144,-19.3,5,4,Non-Target
143,-22.2,2,5,Non-Target
150,-22.5,5,5,Non-Target
148,-22.5,2,5,Non-Target
143,-22.2,4,5,Non-Target
141,-19.6,5,4,Non-Target
146,-22.2,5,5,Non-Target
142,-17.4,5,3,Non-Target
150,-19.5,3,4,Non-Target
146,-22.2,4,5,Non-Target
140,-20.2,4,4,Non-Target
140,-15.7,6,4,Non-Target
146,-22.3,5,5,Non-Target
144,-22.3,6,5,Non-Target
143,-19.4,6,4,Non-Target
143,-19.4,6,4,Non-Target
142,-15.5,6,4,Non-Target
142,-21.4,4,5,Non-Target
142,-21.4,4,5,Non-Target
141,-22.3,3,5,Non-Target
143,-22.3,3,5,Non-Target
140,-20.1,4,4,Non-Target
142,-22.3,4,5,Non-Target
140,-21.4,4,5,Non-Target
140,-10.7,8,1,Non-Target
158,-16.9,9,2,Non-Target
149,-10.7,9,1,Non-Target
160,-10.7,12,1,Non-Target
157,-16.9,10,2,Non-Target
140,-18.1,5,3,Non-Target
150,-18.8,7,3,Non-Target
150,-18.5,7,3,Non-Target
141,-18.3,6,3,Non-Target
140,-18.8,4,3,Non-Target
147,-16.9,8,2,Non-Target
151,-13.6,6,3,Non-Target
151,-13.6,6,3,Non-Target
151,-13.6,6,3,Non-Target
151,-13.6,6,3,Non-Target
151,-13.6,6,3,Non-Target
152,-16,5,2,Non-Target
161,-16.6,8,2,Non-Target
152,-16.6,10,2,Non-Target
142,-18.3,3,3,Non-Target
150,-19.3,4,4,Non-Target
141,-19.3,4,4,Non-Target
140,-16,8,2,Non-Target
142,-16.6,7,2,Non-Target
150,-16.7,10,2,Non-Target
143,-16.6,7,2,Non-Target
143,-16.6,6,2,Non-Target
140,-18.4,8,3,Non-Target
152,-18.6,6,3,Non-Target
152,-18.6,8,3,Non-Target
149,-18.6,7,3,Non-Target
140,-16.3,7,2,Non-Target
151,-17.9,6,3,Non-Target
152,-18.6,7,3,Non-Target
145,-15.9,8,3,Non-Target
142,-18,6,3,Non-Target
142,-21.3,4,4,Non-Target
142,-21.3,4,4,Non-Target
149,-21.3,4,4,Non-Target
149,-21.3,4,4,Non-Target
150,-17.8,7,3,Non-Target
144,-18.7,5,3,Non-Target
141,-18.7,8,3,Non-Target
140,-18.7,5,3,Non-Target
141,-18.7,7,3,Non-Target
140,-18.7,4,3,Non-Target
140,-18.7,4,3,Non-Target
142,-18.7,3,3,Non-Target
142,-16.7,6,4,Non-Target
146,-16.7,6,4,Non-Target
141,-16.7,4,4,Non-Target
140,-18.6,7,3,Non-Target
149,-20.4,5,4,Non-Target
141,-17.8,10,3,Non-Target
140,-20.4,4,4,Non-Target
140,-16.3,8,3,Non-Target
141,-17.8,10,3,Non-Target
140,-20.4,4,4,Non-Target
140,-16.3,8,3,Non-Target
141,-17.8,10,3,Non-Target
140,-20.4,4,4,Non-Target
140,-16.3,8,3,Non-Target
151,-20.4,5,4,Non-Target
153,-20.4,4,4,Non-Target
144,-20.4,5,4,Non-Target
148,-20.4,8,4,Non-Target
140,-17.5,7,3,Non-Target
148,-20.4,9,4,Non-Target
140,-17.5,9,3,Non-Target
148,-20.4,6,4,Non-Target
141,-17.5,7,3,Non-Target
140,-10.3,9,1,Non-Target
149,-20.4,6,4,Non-Target
149,-20.4,5,4,Non-Target
150,-20.4,6,4,Non-Target
159,-20.4,6,4,Non-Target
155,-18.7,8,3,Non-Target
145,-18.1,5,3,Non-Target
143,-18.6,7,3,Non-Target
143,-18.1,8,3,Non-Target
141,-18.6,6,3,Non-Target
141,-18.6,8,3,Non-Target
148,-16,10,2,Non-Target
142,-18.6,8,3,Non-Target
148,-16,10,2,Non-Target
153,-18.6,6,3,Non-Target
154,-23.9,5,6,Non-Target
141,-21.9,4,5,Non-Target
143,-17.1,5,3,Non-Target
152,-18.6,8,3,Non-Target
168,-18.6,9,3,Non-Target
144,-12.4,9,2,Non-Target
148,-18.6,7,3,Non-Target
141,-16.2,10,2,Non-Target
140,-16,8,2,Non-Target
145,-16,10,2,Non-Target
141,-12.1,10,2,Non-Target
148,-18.6,9,3,Non-Target
141,-16.1,8,2,Non-Target
141,-18.1,7,3,Non-Target
148,-18.6,9,3,Non-Target
141,-16.1,8,2,Non-Target
141,-18.1,7,3,Non-Target
148,-18.6,9,3,Non-Target
141,-18.1,7,3,Non-Target
148,-18.6,9,3,Non-Target
141,-16.1,8,2,Non-Target
141,-18.1,7,3,Non-Target
148,-18.6,9,3,Non-Target
141,-16.1,8,2,Non-Target
141,-18.1,7,3,Non-Target
141,-16.1,8,2,Non-Target
141,-18.1,7,3,Non-Target
153,-16,10,2,Non-Target
143,-16.2,10,2,Non-Target
141,-16.1,8,2,Non-Target
141,-18.1,7,3,Non-Target
153,-16,10,2,Non-Target
149,-18.6,9,3,Non-Target
142,-18.6,5,3,Non-Target
140,-18.1,7,3,Non-Target
154,-18.6,8,3,Non-Target
140,-16.2,8,2,Non-Target
157,-18.6,8,3,Non-Target
163,-16.2,10,2,Non-Target
154,-16.2,9,2,Non-Target
148,-12.3,10,2,Non-Target
153,-22.1,5,5,Non-Target
155,-15.9,7,2,Non-Target
160,-22.1,6,5,Non-Target
150,-22.1,4,5,Non-Target
147,-22.1,4,5,Non-Target
146,-20.8,6,4,Non-Target
140,-22.1,3,5,Non-Target
151,-22.1,6,5,Non-Target
145,-15.9,8,2,Non-Target
142,-15.9,5,2,Non-Target
151,-22.1,3,5,Non-Target
141,-18.2,5,3,Non-Target
144,-16,7,3,Non-Target
140,-20,6,4,Non-Target
140,-19.2,6,3,Non-Target
160,-19.2,6,3,Non-Target
141,-19.2,7,3,Non-Target
154,-20.5,6,4,Non-Target
145,-19,6,3,Non-Target
157,-14.5,7,3,Non-Target
156,-19,5,3,Non-Target
143,-14.9,8,2,Non-Target
143,-14.5,6,3,Non-Target
141,-18.7,4,3,Non-Target
151,-19.1,7,3,Non-Target
143,-18.6,7,3,Non-Target
164,-19,8,3,Non-Target
163,-19,7,3,Non-Target
141,-18.6,7,3,Non-Target
140,-18.8,6,3,Non-Target
154,-19,6,3,Non-Target
140,-19,5,3,Non-Target
154,-19,5,3,Non-Target
141,-19,5,3,Non-Target
164,-19,6,3,Non-Target
153,-19,8,3,Non-Target
147,-19,6,3,Non-Target
147,-18.6,5,3,Non-Target
141,-18.6,6,3,Non-Target
142,-15,7,2,Non-Target
141,-12.9,9,2,Non-Target
147,-19,6,3,Non-Target
142,-19,6,3,Non-Target
157,-18.7,8,3,Non-Target
143,-18,5,3,Non-Target
144,-18,8,3,Non-Target
163,-18,8,3,Non-Target
144,-18,7,3,Non-Target
158,-18,9,3,Non-Target
144,-18,6,3,Non-Target
155,-18,7,3,Non-Target
143,-18,5,3,Non-Target
148,-12.3,10,2,Non-Target
152,-18,8,3,Non-Target
160,-18,11,3,Non-Target
152,-16.2,10,2,Non-Target
160,-18,11,3,Non-Target
152,-16.2,10,2,Non-Target
152,-16.2,10,2,Non-Target
142,-19,7,3,Non-Target
140,-16.4,9,2,Non-Target
142,-18,6,3,Non-Target
142,-18,6,3,Non-Target
141,-18,6,3,Non-Target
145,-16.2,8,2,Non-Target
155,-20.4,4,4,Non-Target
145,-20.4,5,4,Non-Target
155,-20.4,4,4,Non-Target
145,-20.4,5,4,Non-Target
144,-18.2,6,3,Non-Target
157,-20.4,6,4,Non-Target
148,-20.1,4,4,Non-Target
147,-20.4,5,4,Non-Target
144,-16,6,4,Non-Target
144,-16,6,4,Non-Target
144,-20.1,5,4,Non-Target
141,-17.5,6,3,Non-Target
141,-17.5,6,3,Non-Target
140,-20.1,4,4,Non-Target
140,-16,6,4,Non-Target
140,-20.1,4,4,Non-Target
143,-17.2,11,2,Non-Target
142,-11.1,13,0,Non-Target
140,-15.2,12,1,Non-Target
