@relation microarray.txt

@attribute seedMFE numeric
@attribute totalAU numeric
@attribute Class {Target,Non-Target}

@data
-17.9,8,Target
-15.7,9,Target
-14.4,6,Target
-17.9,6,Target
-17.5,6,Target
-17.9,7,Target
-17.9,8,Target
-17.9,5,Target
-17.5,6,Target
-17.5,6,Target
-16.1,9,Target
-21.3,9,Target
-21.3,7,Target
-19.3,8,Target
-21.3,4,Target
-17.3,6,Target
-17.9,7,Target
-14.4,8,Target
-15.7,7,Target
-17.9,7,Target
-14.4,5,Target
-17.9,8,Target
-14.4,9,Target
-13.9,8,Target
-17.9,4,Target
-17.9,9,Target
-17.9,7,Target
-17.9,6,Target
-17.9,4,Target
-22.9,7,Target
-17.9,7,Target
-17.9,6,Target
-17.9,7,Target
-17.9,7,Target
-17.9,7,Target
-12.2,8,Target
-13.7,9,Target
-13.7,9,Target
-20.6,6,Target
-20.6,4,Target
-15.1,7,Target
-17.1,8,Target
-22.9,3,Target
-22.3,5,Target
-21.3,7,Target
-22.9,3,Target
-17.9,7,Target
-15.7,10,Target
-17.9,9,Target
-17.9,7,Target
-15.7,10,Target
-20.4,8,Target
-20.4,7,Target
-20.4,9,Target
-20.4,8,Target
-20.4,11,Target
-20.4,9,Target
-19.5,9,Target
-19.5,6,Target
-19.5,6,Target
-19.5,8,Target
-19.6,6,Target
-19.5,6,Target
-20.9,10,Target
-20.9,8,Target
-20.9,9,Target
-20.9,5,Target
-20.9,6,Target
-22.9,6,Target
-22.9,5,Target
-22.9,6,Target
-22.9,6,Target
-22.9,6,Target
-22.9,4,Target
-22.9,4,Target
-22.9,6,Target
-22.9,4,Target
-20.6,6,Target
-20.9,7,Target
-20.5,5,Target
-22.9,4,Target
-22.9,7,Target
-22.9,6,Target
-18.3,6,Target
-16,8,Target
-20.9,8,Target
-20.9,9,Target
-20.9,5,Target
-20.9,7,Target
-20.9,7,Target
-22.9,6,Target
-22.9,6,Target
-22.9,4,Target
-22.9,7,Target
-22.9,4,Target
-14.6,6,Target
-14.6,6,Target
-14.6,8,Target
-14.6,7,Target
-17.7,7,Target
-12.9,6,Target
-17.7,9,Target
-17.7,8,Target
-17.7,8,Target
-20.9,7,Target
-18,5,Target
-14.7,8,Target
-17.7,5,Target
-17.7,8,Target
-20.3,3,Target
-16.2,8,Target
-16.2,7,Target
-16.2,11,Target
-16.2,9,Target
-16.3,8,Target
-16.2,8,Target
-18.6,9,Target
-17.9,6,Target
-14.4,11,Target
-16.6,10,Target
-20.9,7,Target
-20.5,5,Target
-18.6,8,Target
-18.6,6,Target
-19,7,Target
-19,5,Target
-19,5,Target
-19,5,Target
-19,6,Target
-19,6,Target
-16.2,10,Target
-16.2,9,Target
-16.2,12,Target
-16.2,9,Target
-16.2,11,Target
-16.2,8,Target
-19.5,8,Target
-16.8,6,Target
-19.5,8,Target
-19.5,4,Target
-17.4,8,Target
-16.9,9,Target
-19.5,10,Target
-19.5,8,Target
-19.5,5,Target
-19.5,8,Target
-15.1,9,Target
-20.9,8,Target
-20.9,8,Target
-20.9,4,Target
-20.9,6,Target
-20.9,5,Target
-19.5,7,Target
-19.5,5,Target
-19.5,8,Target
-17.4,7,Target
-15.1,7,Target
-18.5,5,Non-Target
-19,8,Non-Target
-14.6,11,Non-Target
-14.6,13,Non-Target
-14.6,12,Non-Target
-17.2,10,Non-Target
-17.2,12,Non-Target
-18.2,8,Non-Target
-18.2,5,Non-Target
-20,5,Non-Target
-15.5,8,Non-Target
-21.9,4,Non-Target
-16.9,5,Non-Target
-19,8,Non-Target
-16.3,9,Non-Target
-19.9,6,Non-Target
-19.9,8,Non-Target
-18.6,6,Non-Target
-18.9,6,Non-Target
-18.9,5,Non-Target
-18.4,6,Non-Target
-18.9,5,Non-Target
-18.9,8,Non-Target
-18.9,8,Non-Target
-18.9,8,Non-Target
-18.9,6,Non-Target
-18.9,7,Non-Target
-19.6,6,Non-Target
-19.9,5,Non-Target
-18.9,7,Non-Target
-18.9,7,Non-Target
-18.9,7,Non-Target
-18.9,8,Non-Target
-18.6,8,Non-Target
-14.4,7,Non-Target
-18.9,4,Non-Target
-14.4,7,Non-Target
-18.9,4,Non-Target
-14.4,7,Non-Target
-18.9,4,Non-Target
-14.4,7,Non-Target
-18.9,4,Non-Target
-14.4,7,Non-Target
-18.9,4,Non-Target
-19.6,6,Non-Target
-19.9,5,Non-Target
-18.6,8,Non-Target
-18.6,6,Non-Target
-18.9,5,Non-Target
-18.9,6,Non-Target
-18.9,6,Non-Target
-18.9,7,Non-Target
-18.9,8,Non-Target
-18.9,7,Non-Target
-18.6,7,Non-Target
-18.4,8,Non-Target
-18.4,7,Non-Target
-18.9,7,Non-Target
-19.9,8,Non-Target
-19.9,4,Non-Target
-18.9,6,Non-Target
-18.9,5,Non-Target
-18.9,8,Non-Target
-18.4,5,Non-Target
-15.5,9,Non-Target
-18.4,5,Non-Target
-18.6,4,Non-Target
-11.9,7,Non-Target
-18.4,5,Non-Target
-18.9,5,Non-Target
-18.4,5,Non-Target
-18.9,5,Non-Target
-18.4,5,Non-Target
-18.9,5,Non-Target
-18.4,4,Non-Target
-18.4,5,Non-Target
-18.6,6,Non-Target
-18.9,4,Non-Target
-21.1,4,Non-Target
-21.1,4,Non-Target
-18,8,Non-Target
-17.7,5,Non-Target
-19.3,6,Non-Target
-19.3,6,Non-Target
-21.1,4,Non-Target
-21.1,8,Non-Target
-13.9,7,Non-Target
-21.1,4,Non-Target
-21.1,8,Non-Target
-13.9,7,Non-Target
